"Название ресурса","URL-адрес ресурса","Тематики ресурса","Тип ресурса","Данные Метрики","Посетители (кросс-девайс)","Посетители (браузер)","Среднее время","Доля пользователей приложения","Дневная аудитория"
"Drivenn.ru — автомобили в Нижнем Новгороде","drivenn.ru","Авто и мото, Авто и мото->Продажа автомобилей и мотоциклов, Торговля->Продажа автомобилей и мотоциклов, Торговля","Агрегаторы","да","31892","40650","00:02:06","0.0","1429"
"Машинтоп - автомобильный портал","mashintop.ru","Авто и мото, Авто и мото->Автомобили","Контентные проекты","да","31268","40100","00:01:03","0.0","1092"
"ОТЗЫВ.Ру: Отзывы туристов | Новинки кино | Авто отзывы","otzyv.ru","Путешествия->Туры и экскурсии, Путешествия","Сообщества","да","30646","42150","00:03:51","0.0","1315"
"Рамблер/гороскопы","horoscopes.rambler.ru","Непознанное->Астрология и гороскопы, Непознанное","Контентные проекты","да","29246","39550","00:03:35","0.0","1637"
"«Авторамблер» — автомобильный портал","autorambler.ru","Авто и мото->Издания об автомобилях, Авто и мото, Новости и СМИ->Издания об автомобилях, Новости и СМИ","Контентные проекты","да","29042","36950","00:03:16","0.0","1314"
"Футбол онлайн, прямые трансляции... - LiveResult","liveresult.ru","Спорт и активный образ жизни, Спорт и активный образ жизни->Футбол","Видео","да","28603","40800","00:14:28","0.0","2028"
"Яндекс.Интернетометр — проверка скорости интернета","yandex.ru/internet","Техника и технологии, Техника и технологии->Интернет-сервисы","Сервисы","да","28352","42450","00:07:50","0.0","1612"
"Новости InfoNIAC.ru","infoniac.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","27318","35700","00:01:40","0.0","1099"
"Psychologies — журнал","psychologies.ru","Здоровье, красота, стиль, Здоровье, красота, стиль->Журналы о красоте и здоровье","Контентные проекты","да","27120","40150","00:02:34","0.0","1291"
"78.ru | Официальный сайт телеканала | Новости политики...","78.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","26588","34550","00:01:16","0.0","1104"
"GMbox.ru — игровой медиа-портал","gmbox.ru","Развлечения и отдых->Компьютерные игры, Развлечения и отдых","Контентные проекты","да","26507","35800","00:03:46","0.0","1466"
"АгроСервер.ру — информационная поддержка сельского...","agroserver.ru","Промышленность и сельское хозяйство->Сельское хозяйство, Промышленность и сельское хозяйство","Агрегаторы","да","25278","35950","00:11:12","0.0","1511"
"Attuale.ru","attuale.ru","Домашнее хозяйство","Контентные проекты","да","25265","32850","00:01:19","0.0","989"
"АвтоТочки — справочник автолюбителя","avtotochki.ru","Авто и мото, Авто и мото->Автомобили","Агрегаторы","да","25155","33100","00:02:58","0.0","989"
"Яндекс.Диалоги — доверьте общение с клиентами Алисе","dialogs.yandex.ru","Услуги","Сервисы","да","24974","36150","00:02:47","0.0","1255"
"Medi.ru — справочник лекарств","medi.ru","Медицина->Лекарства и медицинские товары, Торговля->Лекарства и медицинские товары, Медицина, Торговля","Контентные проекты","да","24926","32800","00:01:10","0.0","1019"
